Id,Predicted
0,3208.5
1,2620.5
2,3293.0
3,1904.0
4,2890.0
5,2402.0
6,2338.5
7,3150.5
8,2721.0
9,3425.0
10,2182.0
11,2735.5
12,2985.0
13,2818.0
14,2168.5
15,2697.5
16,1853.5
17,2532.5
18,2324.0
19,2879.0
20,1740.0
21,2513.5
22,2299.0
23,3004.0
24,2983.5
25,1784.5
26,2480.5
27,2769.5
28,2592.5
29,3136.5
30,3234.0
31,2713.5
32,2232.0
33,2383.5
34,1807.0
35,1883.5
36,1374.0
37,2646.0
38,2922.5
39,2540.5
40,2147.5
41,2964.0
42,3105.5
43,3081.0
44,1541.5
45,3188.0
46,2631.5
47,2313.0
48,2223.0
49,1722.0
50,1843.0
51,2769.0
52,2305.0
53,1417.5
54,1650.5
55,3217.5
56,2666.0
57,2875.0
58,2221.5
59,2947.5
60,2265.0
61,2561.0
62,2945.0
63,2408.5
64,2727.5
65,3146.5
66,2701.5
67,2791.5
68,2437.5
69,2751.5
70,1897.5
71,2165.0
72,3000.5
73,2185.5
74,2837.5
75,2974.5
76,1809.5
77,2130.5
78,3205.0
79,2760.0
80,2877.0
81,2845.5
82,3183.5
83,2261.0
84,2407.0
85,2478.0
86,3219.0
87,2581.0
88,2244.0
89,2509.0
90,2828.5
91,2531.0
92,2706.5
93,1975.5
94,3654.0
95,2504.5
96,2879.5
97,1928.5
98,2989.5
99,2382.0
100,3039.5
101,3157.5
102,2898.5
103,2999.5
104,2349.0
105,3921.0
106,1749.0
107,2062.0
108,2866.0
109,2390.0
110,1821.0
111,2253.0
112,3088.5
113,2242.0
114,1713.0
115,2125.0
116,2220.0
117,2553.0
118,2410.0
119,1967.0
120,3165.5
121,2331.5
122,3156.0
123,2833.5
124,2394.0
125,2866.0
126,2385.5
127,1729.5
128,2619.5
129,3009.0
130,3957.5
131,1758.5
132,3087.5
133,3222.0
134,3023.0
135,1819.5
136,3165.5
137,3056.5
138,2464.5
139,1979.5
140,3412.5
141,3498.0
142,1865.0
143,2732.0
144,3177.0
145,2498.0
146,2500.0
147,2530.5
148,2422.5
149,2107.0
150,3264.5
151,2450.5
152,3513.0
153,3515.5
154,2074.5
155,3299.0
156,2346.5
157,2953.0
158,3217.5
159,3247.0
160,2808.5
161,2191.0
162,2288.0
163,3136.5
164,3126.0
165,2357.0
166,3202.0
167,2021.5
168,3087.0
169,2678.0
170,1861.5
171,2578.0
172,2316.5
173,2680.5
174,2324.0
175,2928.0
176,2879.5
177,3187.0
178,2059.0
179,2427.5
180,2117.5
181,3783.5
182,2531.0
183,2472.0
184,3917.5
185,2662.0
186,2097.0
187,2251.5
188,2903.0
189,2170.5
190,3261.0
191,2233.5
192,3131.0
193,3411.0
194,2704.5
195,2777.5
196,2891.5
197,2080.5
198,3228.5
199,2688.0
200,2910.0
201,2314.5
202,1905.5
203,2315.0
204,2191.5
205,2559.0
206,2694.0
207,1792.0
208,3318.0
209,2136.5
210,2839.0
211,2398.0
212,2806.5
213,3456.5
214,2210.5
215,2348.0
216,3030.5
217,2481.0
218,2395.0
219,1869.5
220,2714.0
221,2487.0
222,2815.0
223,2450.5
224,1503.5
225,2488.0
226,2191.5
227,2761.0
228,3418.0
229,2761.0
230,2003.5
231,3229.0
232,3313.0
233,3156.0
234,2590.0
235,2206.5
236,2220.5
237,3077.5
238,2725.5
239,3101.5
240,3105.5
241,2478.0
242,2899.0
243,2565.5
244,2670.0
245,2668.0
246,3253.5
247,2754.0
248,3422.0
249,3111.0
250,2794.0
251,2026.5
252,3375.5
253,2962.0
254,2728.0
255,2305.5
256,2291.5
257,1797.0
258,2369.0
259,2389.5
260,2821.5
261,2384.5
262,3085.0
263,2249.5
264,2256.0
265,3252.0
