Id,Predicted
0,3161.0
1,2590.0
2,3101.0
3,1910.0
4,2870.0
5,2242.0
6,2325.0
7,3212.0
8,2629.0
9,3426.0
10,2248.0
11,2826.0
12,2893.0
13,2854.0
14,2042.0
15,2860.0
16,1963.0
17,2526.0
18,2443.0
19,2904.0
20,1869.0
21,2541.0
22,2214.0
23,3094.0
24,3048.0
25,1879.0
26,2410.0
27,2871.0
28,2796.0
29,3110.0
30,3300.0
31,2757.0
32,2217.0
33,2422.0
34,1803.0
35,1806.0
36,1308.0
37,2850.0
38,3006.0
39,2549.0
40,2215.0
41,2938.0
42,3036.0
43,3150.0
44,1587.0
45,3253.0
46,2662.0
47,2327.0
48,2217.0
49,1643.0
50,1822.0
51,2550.0
52,2166.0
53,1570.0
54,1593.0
55,3223.0
56,2728.0
57,2919.0
58,2354.0
59,2816.0
60,2315.0
61,2429.0
62,2783.0
63,2308.0
64,2645.0
65,3136.0
66,2701.0
67,2938.0
68,2375.0
69,2901.0
70,1868.0
71,2057.0
72,2963.0
73,2411.0
74,2827.0
75,2939.0
76,1876.0
77,2248.0
78,3219.0
79,2814.0
80,2879.0
81,2852.0
82,3150.0
83,2335.0
84,2313.0
85,2280.0
86,3285.0
87,2777.0
88,2221.0
89,2442.0
90,2726.0
91,2418.0
92,2668.0
93,1997.0
94,3764.0
95,2422.0
96,2717.0
97,1805.0
98,3071.0
99,2168.0
100,2946.0
101,3119.0
102,2714.0
103,2863.0
104,2484.0
105,3769.0
106,1974.0
107,2078.0
108,2791.0
109,2379.0
110,1762.0
111,2290.0
112,3156.0
113,2281.0
114,1594.0
115,2025.0
116,2106.0
117,2498.0
118,2333.0
119,1844.0
120,2989.0
121,2209.0
122,3188.0
123,2680.0
124,2531.0
125,2893.0
126,2506.0
127,1640.0
128,2852.0
129,2989.0
130,3827.0
131,1805.0
132,3077.0
133,3247.0
134,2905.0
135,1909.0
136,2989.0
137,3154.0
138,2467.0
139,1857.0
140,3273.0
141,3520.0
142,1872.0
143,2713.0
144,3385.0
145,2615.0
146,2743.0
147,2538.0
148,2547.0
149,2140.0
150,3137.0
151,2398.0
152,3360.0
153,3508.0
154,2095.0
155,3209.0
156,2401.0
157,3074.0
158,3306.0
159,3203.0
160,2825.0
161,2061.0
162,2320.0
163,3168.0
164,3030.0
165,2200.0
166,3333.0
167,1844.0
168,3119.0
169,2821.0
170,2046.0
171,2629.0
172,2275.0
173,2735.0
174,2256.0
175,2948.0
176,2814.0
177,3087.0
178,2121.0
179,2450.0
180,2092.0
181,3624.0
182,2539.0
183,2362.0
184,3772.0
185,2642.0
186,2166.0
187,2193.0
188,2966.0
189,2192.0
190,3103.0
191,2147.0
192,3039.0
193,3223.0
194,2612.0
195,2867.0
196,2862.0
197,2030.0
198,3083.0
199,2729.0
200,2724.0
201,2287.0
202,2032.0
203,2340.0
204,2223.0
205,2622.0
206,2602.0
207,1890.0
208,3177.0
209,2117.0
210,2861.0
211,2429.0
212,2846.0
213,3471.0
214,2101.0
215,2474.0
216,2854.0
217,2521.0
218,2219.0
219,1989.0
220,2746.0
221,2411.0
222,2959.0
223,2499.0
224,1656.0
225,2577.0
226,2205.0
227,2806.0
228,3487.0
229,2645.0
230,2087.0
231,3121.0
232,3148.0
233,3344.0
234,2621.0
235,2215.0
236,2204.0
237,2944.0
238,2617.0
239,3184.0
240,3105.0
241,2612.0
242,2835.0
243,2499.0
244,2632.0
245,2671.0
246,3094.0
247,2684.0
248,3503.0
249,3014.0
250,2767.0
251,1793.0
252,3412.0
253,3047.0
254,2632.0
255,2458.0
256,2308.0
257,1830.0
258,2377.0
259,2491.0
260,2607.0
261,2391.0
262,3102.0
263,2244.0
264,2415.0
265,3309.0
266,2609.0
267,2984.0
268,1864.0
269,2350.0
270,2660.0
271,2408.0
272,2328.0
273,2635.0
274,2098.0
275,3157.0
276,2845.0
277,2477.0
278,3288.0
279,2390.0
280,3502.0
281,2340.0
282,3048.0
283,3226.0
284,1384.0
285,3032.0
286,2453.0
287,2559.0
288,2377.0
289,3450.0
290,2363.0
291,2753.0
292,1676.0
293,3854.0
294,2805.0
295,3199.0
296,3309.0
297,2093.0
298,2828.0
299,2317.0
300,3780.0
301,2509.0
302,2236.0
303,3203.0
304,1821.0
305,2321.0
306,2988.0
307,2264.0
308,2434.0
309,1969.0
310,3524.0
311,2560.0
312,2748.0
313,2404.0
314,2022.0
315,1670.0
316,2205.0
317,1977.0
318,2268.0
319,2134.0
320,2789.0
321,1791.0
322,2230.0
323,3394.0
324,2788.0
325,2240.0
326,2942.0
327,2949.0
328,1490.0
329,3320.0
330,1881.0
331,2291.0
332,1787.0
333,3360.0
334,3064.0
335,3045.0
336,2344.0
337,2735.0
338,2921.0
339,2845.0
340,2700.0
341,2946.0
342,3576.0
343,3263.0
344,2175.0
345,2385.0
